Name,Temple Code,Numeric Code,,,,,,,,
PRESIDENT'S OFFICE,POFFI,3,PO,President's Office,1/19/1905,12/31/1909,PO,President's Office,1/19/1905,3653
PORTLAND OREGON,PORTL,48,PT,Portland Oregon,8/22/1989,,PT,Portland Oregon,8/22/1989,0
PRESTON ENGLAND ,PREST ,58,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PROVO UTAH,PROVO,18,PV,Provo,2/23/1972,,PV,Provo,2/23/1972,0
RALEIGH NORTH CAROLINA,RALEI,94,,Raleigh North Carolina,,,0,Raleigh North Carolina,1/0/1900,0
RECIFE BRAZIL,RECIF,63,,Recife Brazil,,,0,Recife Brazil,1/0/1900,0
REDLANDS CALIFORNIA,REDLA,127,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
REGINA SASKATCHEWAN,REGIN,89,,Regina Saskatchewan,,,0,Regina Saskatchewan,1/0/1900,0
RENO NEVADA,RENO,113,,Reno Nevada,,,0,Reno Nevada,1/0/1900,0
SACRAMENTO CALIFORNIA,SACRA,128,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
SANTIAGO CHILE,SANTI ,32,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
SAN ANTONIO TEXAS,SANTO,129,,San Antoinio Texas,,,0,San Antoinio Texas,1/0/1900,0
SAN DIEGO CALIFORNIA,SDIEG,47,SA,San Diego California,4/26/1993,,SA,San Diego California,4/26/1993,0
SANTO DOMINGO DOM. REP.,SDOMI,60,,Santo Domingo Dom. Rep.,,,0,Santo Domingo Dom. Rep.,1/0/1900,0
SEATTLE WASHINGTON,SEATT,24,SE,Seattle,11/22/1980,,SE,Seattle,11/22/1980,0
SEOUL SOUTH KOREA,SEOUL,40,SO,Seoul Korea,12/14/1985,,SO,Seoul Korea,12/14/1985,0
ST. GEORGE UTAH,SGEOR,5,SG,St. George,1/9/1877,,SG,St. George,1/9/1877,0
SAN JOSE COSTA RICA,SJOSE,111,,San José Costa Rica,,,0,San José Costa Rica,1/0/1900,0
SALT LAKE,SLAKE,8,SL,Salt Lake,5/23/1893,,SL,Salt Lake,5/23/1893,0
ST. LOUIS MISSOURI,SLOUI ,54,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
SNOWFLAKE ARIZONA,SNOWF,124,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
SAO PAULO BRAZIL,SPAUL,21,SP,Sao Paulo,10/31/1978,,SP,Sao Paulo,10/31/1978,0
ST. PAUL MINNESOTA,SPMIN,88,,St. Paul Minnesota,,,0,St. Paul Minnesota,1/0/1900,0
SPOKANE WASHINGTON,SPOKA,93,,Spokane Washington,,,0,Spokane Washington,1/0/1900,0
STOCKHOLM SWEDEN,STOCK,41,ST,Stockholm Sweden,6/2/1985,,ST,Stockholm Sweden,6/2/1985,0
SUVA FIJI,SUVA,78,,Suva Fiji,,,0,Suva Fiji,1/0/1900,0
BERN SWITZERLAND,SWISS,13,SW,Swiss,9/16/1955,,SW,Swiss,9/16/1955,0
SYDNEY AUSTRALIA,SYDNE,29,SD,Sydney Australia,9/24/1984,,SD,Sydney Australia,9/24/1984,0
TAIPEI TAIWAN,TAIPE,44,TP,Taipei Taiwan,11/19/1984,,TP,Taipei Taiwan,11/19/1984,0
TAMPICO MEXICO,TAMPI,85,,Tampico Tamaulipas,,,0,Tampico Tamaulipas,1/0/1900,0
TUXTLA GUTIERREZ MEXICO,TGUTI,106,,Tuxtla Gutiérrez Chiapas,,,0,Tuxtla Gutiérrez Chiapas,1/0/1900,0
TOKYO JAPAN,TOKYO,22,TK,Tokyo,10/30/1980,,TK,Tokyo,10/30/1980,0
TORONTO ONTARIO ,TORON,50,TR,Toronto Ontario,8/25/1990,,TR,Toronto Ontario,8/25/1990,0
VERACRUZ MEXICO,VERAC,115,,Vera Cruz Vera Cruz,,,0,Vera Cruz Vera Cruz,1/0/1900,0
VERNAL UTAH,VERNA,61,,Vernal Utah,11/5/1997,,0,Vernal Utah,11/5/1997,0
VILLAHERMOSA MEXICO,VILLA,101,,Villahermosa Tobasco,,,0,Villahermosa Tobasco,1/0/1900,0
WASHINGTON D.C.,WASHI,20,WA,"Washington, D.C.",11/23/1974,,WA,"Washington, D.C.",11/23/1974,0
WINTER QUARTERS NEBRASKA,WINTE,118,,Winter Quarters Nebraska,,,0,Winter Quarters Nebraska,1/0/1900,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
